Source,Target
PH,Industrial Machinery
PH,Tools/Equipment
PNR,Industrials
PNR,Industrial Machinery
PNR,Tools/Equipment
SNA,Industrials
SNA,Industrial Machinery
SNA,Tools/Equipment
SWK,Industrials
SWK,Industrial Machinery
SWK,Tools/Equipment
CSX,Industrials
CSX,Railroads
CSX,Transport
CSX,Travel
KSU,Industrials
KSU,Railroads
KSU,Transport
KSU,Travel
NSC,Industrials
NSC,Railroads
NSC,Transport
NSC,Travel
UNP,Industrials
UNP,Railroads
UNP,Transport
UNP,Travel
EFX,Industrials
EFX,Research and Consulting Services
EFX,Service
FAST,Industrials
FAST,Trading Companies and Distributors
FAST,Tools/Equipment
URI,Industrials
URI,Trading Companies and Distributors
URI,Tools/Equipment
GWW,Industrials
GWW,Trading Companies and Distributors
GWW,Tools/Equipment
JBHT,Industrials
JBHT,Trucking
JBHT,Transport
ODFL,Industrials
ODFL,Trucking
ODFL,Transport
HWKN,Materials
HWKN,Commodity Chemicals
HWKN,Material Goods
MLM,Materials
MLM,Construction Materials
MLM,Home
VMC,Materials
VMC,Construction Materials
VMC,Home
FCX,Materials
FCX,Copper
FCX,Metal
SCCO,Materials
SCCO,Copper
SCCO,Metal
EMN,Materials
EMN,Diversified Chemicals
EMN,Material Goods
BBL,Materials
BBL,Diversified Metals and Mining
BBL,Metal
MTRN,Materials
MTRN,Diversified Metals and Mining
MTRN,Metal
CF,Materials
CF,Fertilizers and Agricultural Chemicals
CF,Food
FMC,Materials
FMC,Fertilizers and Agricultural Chemicals
FMC,Food
SMG,Materials
SMG,Fertilizers and Agricultural Chemicals
SMG,Food
LPX,Materials
LPX,Forest Products
LPX,Material Goods
NEM,Materials
NEM,Gold
NEM,Precious Metals
GSS,Materials
GSS,Gold
GSS,Precious Metals
AGI,Materials
AGI,Gold
AGI,Precious Metals
SSRM,Materials
SSRM,Gold
SSRM,Precious Metals
AUY,Materials
AUY,Gold
AUY,Precious Metals
IAG,Materials
IAG,Gold
IAG,Precious Metals
CMCL,Materials
CMCL,Gold
CMCL,Precious Metals
APD,Materials
APD,Industrial Gases
APD,Material Goods
BLL,Materials
BLL,Metal and Glass Containers
BLL,Material Goods
SLGN,Materials
SLGN,Metal and Glass Containers
SLGN,Material Goods
CCK,Materials
CCK,Metal and Glass Containers
CCK,Material Goods
AVY,Materials
AVY,Paper Packaging
AVY,Material Goods
IP,Materials
IP,Paper Packaging
IP,Material Goods
PKG,Materials
PKG,Paper Packaging
PKG,Material Goods
SEE,Materials
SEE,Paper Packaging
SEE,Material Goods
GPK,Materials
GPK,Paper Packaging
GPK,Material Goods
FSM,Materials
FSM,Silver
FSM,Precious Metals
PAAS,Materials
PAAS,Silver
PAAS,Precious Metals
ALB,Materials
ALB,Specialty Chemicals
ALB,Material Goods
ECL,Materials
ECL,Specialty Chemicals
ECL,Material Goods
IFF,Materials
IFF,Specialty Chemicals
IFF,Material Goods
PPG,Materials
PPG,Specialty Chemicals
PPG,Material Goods
SHW,Materials
SHW,Specialty Chemicals
SHW,Material Goods
SCL,Materials
SCL,Specialty Chemicals
SCL,Material Goods
FSI,Materials
FSI,Specialty Chemicals
FSI,Material Goods
ASH,Materials
ASH,Specialty Chemicals
ASH,Material Goods
CE,Materials
CE,Specialty Chemicals
CE,Material Goods
SXT,Materials
SXT,Specialty Chemicals
SXT,Material Goods
RPM,Materials
RPM,Specialty Chemicals
RPM,Material Goods
BCPC,Materials
BCPC,Specialty Chemicals
BCPC,Material Goods
NUE,Materials
NUE,Steel
NUE,Metal
VALE,Materials
VALE,Steel
VALE,Metal
PKX,Materials
PKX,Steel
PKX,Metal
CMC,Materials
CMC,Steel
CMC,Metal
LNT,Utilities
LNT,Electric Utilities
LNT,Heat/Light
LNT,Home
AEP,Utilities
AEP,Electric Utilities
AEP,Heat/Light
AEP,Home
DUK,Utilities
DUK,Electric Utilities
DUK,Heat/Light
DUK,Home
EIX,Utilities
EIX,Electric Utilities
EIX,Heat/Light
EIX,Home
ETR,Utilities
ETR,Electric Utilities
ETR,Heat/Light
ETR,Home
ES,Utilities
ES,Electric Utilities
ES,Heat/Light
ES,Home
EXC,Utilities
EXC,Electric Utilities
EXC,Heat/Light
EXC,Home
FE,Utilities
FE,Electric Utilities
FE,Heat/Light
FE,Home
NEE,Utilities
NEE,Electric Utilities
NEE,Heat/Light
NEE,Home
NRG,Utilities
NRG,Electric Utilities
NRG,Heat/Light
NRG,Home
PNW,Utilities
PNW,Electric Utilities
PNW,Heat/Light
PNW,Home
PPL,Utilities
PPL,Electric Utilities
PPL,Heat/Light
PPL,Home
SO,Utilities
SO,Electric Utilities
SO,Heat/Light
SO,Home
XEL,Utilities
XEL,Electric Utilities
XEL,Heat/Light
XEL,Home
MGEE,Utilities
MGEE,Electric Utilities
MGEE,Heat/Light
MGEE,Home
POR,Utilities
POR,Electric Utilities
POR,Heat/Light
POR,Home
CLPHY,Utilities
CLPHY,Electric Utilities
CLPHY,Heat/Light
CLPHY,Home
ENIA,Utilities
ENIA,Electric Utilities
ENIA,Heat/Light
ENIA,Home
KEP,Utilities
KEP,Electric Utilities
KEP,Heat/Light
KEP,Home
OGE,Utilities
OGE,Electric Utilities
OGE,Heat/Light
OGE,Home
ELP,Utilities
ELP,Electric Utilities
ELP,Heat/Light
ELP,Home
ATO,Utilities
ATO,Gas Utilities
ATO,Heat/Light
ATO,Home
SJI,Utilities
SJI,Gas Utilities
SJI,Heat/Light
SJI,Home
AES,Utilities
AES,Independent Power Producers and Energy Traders
AES,Heat/Light
AES,Home
TAC,Utilities
TAC,Independent Power Producers and Energy Traders
TAC,Heat/Light
TAC,Home
AEE,Utilities
AEE,Multi-Utilities
AEE,Heat/Light
AEE,Home
CNP,Utilities
CNP,Multi-Utilities
CNP,Heat/Light
CNP,Home
CMS,Utilities
CMS,Multi-Utilities
CMS,Heat/Light
CMS,Home
ED,Utilities
ED,Multi-Utilities
ED,Heat/Light
ED,Home
DTE,Utilities
DTE,Multi-Utilities
DTE,Heat/Light
DTE,Home
NI,Utilities
NI,Multi-Utilities
NI,Heat/Light
NI,Home
PEG,Utilities
PEG,Multi-Utilities
PEG,Heat/Light
PEG,Home
SRE,Utilities
SRE,Multi-Utilities
SRE,Heat/Light
SRE,Home
WEC,Utilities
WEC,Multi-Utilities
WEC,Heat/Light
WEC,Home
NGG,Utilities
NGG,Multi-Utilities
NGG,Heat/Light
NGG,Home
EONGY,Utilities
EONGY,Multi-Utilities
EONGY,Heat/Light
EONGY,Home
UTL,Utilities
UTL,Multi-Utilities
UTL,Heat/Light
UTL,Home
BIP,Utilities
BIP,Multi-Utilities
BIP,Heat/Light
BIP,Home
CPYYY,Utilities
CPYYY,Multi-Utilities
CPYYY,Heat/Light
CPYYY,Home
AWK,Utilities
AWK,Water Utilities
AWK,Water
AWK,Food
ARTNA,Utilities
ARTNA,Water Utilities
ARTNA,Water
ARTNA,Food
MSEX,Utilities
MSEX,Water Utilities
MSEX,Water
MSEX,Food
YORW,Utilities
YORW,Water Utilities
YORW,Water
YORW,Food
CWCO,Utilities
CWCO,Water Utilities
CWCO,Water
CWCO,Food
Communication Services,Advertising
Communication Services,Alternative Carriers
Communication Services,Broadcasting
Communication Services,Cable and Satellite
Communication Services,Integrated Telecommunication Services
Communication Services,Interactive Home Entertainment
Communication Services,Interactive Media and Services
Communication Services,Movies and Entertainment
Communication Services,Publishing
Communication Services,Wireless Telecommunication Services
Consumer Discretionary,Apparel Retail
Consumer Discretionary,"Apparel, Accessories and Luxury Goods"
Consumer Discretionary,Auto Parts and Equipment
Consumer Discretionary,Automobile Manufacturers
Consumer Discretionary,Automotive Retail
Consumer Discretionary,Casinos and Gaming
Consumer Discretionary,Consumer Electronics
Consumer Discretionary,Department Stores
Consumer Discretionary,Distributors
Consumer Discretionary,Footwear
Consumer Discretionary,General Merchandise Stores
Consumer Discretionary,Home Furnishings
Consumer Discretionary,Home Improvement Retail
Consumer Discretionary,Homebuilding
Consumer Discretionary,"Hotels, Resorts and Cruise Lines"
Consumer Discretionary,Household Appliances
Consumer Discretionary,Housewares and Specialties
Consumer Discretionary,Internet and Direct Marketing Retail
Consumer Discretionary,Leisure Products
Consumer Discretionary,Motorcycle Manufacturers
Consumer Discretionary,Restaurants
Consumer Discretionary,Specialized Consumer Services
Consumer Discretionary,Specialty Stores
Consumer Staples,Agricultural Products
Consumer Staples,Brewers
Consumer Staples,Distillers and Vintners
Consumer Staples,Drug Retail
Consumer Staples,Food Distributors
Consumer Staples,Food Retail
Consumer Staples,Household Products
Consumer Staples,Hypermarkets and Super Centers
Consumer Staples,Packaged Foods and Meats
Consumer Staples,Personal Products
Consumer Staples,Soft Drinks
Consumer Staples,Tobacco
Energy,Integrated Oil and Gas
Energy,Oil and Gas Equipment and Services
Energy,Oil and Gas Exploration and Production
Energy,Oil and Gas Refining and Marketing
Energy,Oil and Gas Storage and Transportation
Financials,Asset Management and Custody Banks
Financials,Financial Exchanges and Data
Financials,Insurance Brokers
Financials,Life and Health Insurance
Financials,Multi-Sector Holdings
Financials,Multi-line Insurance
Financials,Property and Casualty Insurance
Financials,Reinsurance
Healthcare,Biotechnology
Healthcare,Health Care Distributors
Healthcare,Health Care Equipment
Healthcare,Health Care Facilities
Healthcare,Health Care Services
Healthcare,Health Care Supplies
Healthcare,Health Care Technology
Healthcare,Life Sciences Tools and Services
Healthcare,Managed Health Care
Healthcare,Pharmaceuticals
IT,Application Software
IT,Communications Equipment
IT,Data Processing and Outsourced Services
IT,Electronic Components
IT,Electronic Equipment and Instruments
IT,Electronic Manufacturing Services
IT,Interactive Media and Services
IT,Internet Services and Infrastructure
IT,Semiconductor Equipment
IT,Semiconductors
IT,Systems Software
IT,"Technology Hardware, Storage and Peripherals"
Industrials,Aerospace and Defense
Industrials,Agricultural and Farm Machinery
Industrials,Air Freight and Logistics
Industrials,Airlines
Industrials,Building Products
Industrials,Construction Machinery and Heavy Trucks
Industrials,Construction and Engineering
Industrials,Diversified Support Services
Industrials,Electrical Components and Equipment
Industrials,Environmental and Facilities Services
Industrials,Human Resource and Employment Services
Industrials,Industrial Conglomerates
Industrials,Industrial Machinery
Industrials,Railroads
Industrials,Research and Consulting Services
Industrials,Trading Companies and Distributors
Industrials,Trucking
Materials,Commodity Chemicals
Materials,Construction Materials
Materials,Copper
Materials,Diversified Chemicals
Materials,Diversified Metals and Mining
Materials,Fertilizers and Agricultural Chemicals
Materials,Forest Products
Materials,Gold
Materials,Industrial Gases
Materials,Metal and Glass Containers
Materials,Paper Packaging
Materials,Silver
Materials,Specialty Chemicals
Materials,Steel
Utilities,Electric Utilities
Utilities,Gas Utilities
Utilities,Independent Power Producers and Energy Traders
Utilities,Multi-Utilities
Utilities,Water Utilities
Advertising,Service
Alternative Carriers,Service
Broadcasting,Entertainment
Cable and Satellite,Entertainment
Integrated Telecommunication Services,Service
Interactive Home Entertainment,Entertainment
Interactive Media and Services,Entertainment
Movies and Entertainment,Entertainment
Publishing,Entertainment
Wireless Telecommunication Services,Service
Apparel Retail,Material Goods
"Apparel, Accessories and Luxury Goods",Material Goods
Auto Parts and Equipment,Transport
Automobile Manufacturers,Transport
Automotive Retail,Transport
Casinos and Gaming,Entertainment
Consumer Electronics,Material Goods
Department Stores,Material Goods
Distributors,Material Goods
Footwear,Material Goods
General Merchandise Stores,Material Goods
Home Furnishings,Material Goods
Home Improvement Retail,Material Goods
Homebuilding,Home
"Hotels, Resorts and Cruise Lines",Entertainment
Household Appliances,Material Goods
Housewares and Specialties,Material Goods
Internet and Direct Marketing Retail,Service
Internet and Direct Marketing Retail,Material Goods
Leisure Products,Entertainment
Motorcycle Manufacturers,Transport
Restaurants,Food
Specialized Consumer Services,Service
Specialty Stores,Material Goods
Agricultural Products,Food
Brewers,Alcohol
Distillers and Vintners,Alcohol
Drug Retail,Medicine
Food Distributors,Food
Food Retail,Food
Household Products,Material Goods
Hypermarkets and Super Centers,Food
Packaged Foods and Meats,Food
Personal Products,Material Goods
Soft Drinks,Food
Tobacco,Recreational Drugs
Integrated Oil and Gas,Transport
Oil and Gas Equipment and Services,Transport
Oil and Gas Exploration and Production,Transport
Oil and Gas Refining and Marketing,Transport
Oil and Gas Storage and Transportation,Transport
Asset Management and Custody Banks,Service
Financial Exchanges and Data,Service
Insurance Brokers,Service
Life and Health Insurance,Service
Multi-Sector Holdings,Service
Multi-line Insurance,Service
Property and Casualty Insurance,Service
Reinsurance,Service
Biotechnology,Medicine
Health Care Distributors,Medicine
Health Care Equipment,Tools/Equipment
Health Care Facilities,Service
Health Care Services,Service
Health Care Supplies,Tools/Equipment
Health Care Technology,Tools/Equipment
Life Sciences Tools and Services,Service
Managed Health Care,Service
Pharmaceuticals,Medicine
Application Software,Tools/Equipment
Communications Equipment,Tools/Equipment
Data Processing and Outsourced Services,Service
Electronic Components,Tools/Equipment
Electronic Equipment and Instruments,Tools/Equipment
Electronic Manufacturing Services,Service
IT Consulting and Other Services,Service
Interactive Media and Services,Service
Internet Services and Infrastructure,Service
Semiconductor Equipment,Tools/Equipment
Semiconductors,Tools/Equipment
Systems Software,Tools/Equipment
"Technology Hardware, Storage and Peripherals",Entertainment
"Technology Hardware, Storage and Peripherals",Tools/Equipment
Aerospace and Defense,Aviation
Agricultural and Farm Machinery,Tools/Equipment
Air Freight and Logistics,Aviation
Airlines,Aviation
Building Products,Home
Construction Machinery and Heavy Trucks,Tools/Equipment
Construction and Engineering,Service
Diversified Support Services,Service
Electrical Components and Equipment,Tools/Equipment
Environmental and Facilities Services,Service
Human Resource and Employment Services,Service
Industrial Conglomerates,Tools/Equipment
Industrial Machinery,Tools/Equipment
Railroads,Transport
Research and Consulting Services,Service
Trading Companies and Distributors,Tools/Equipment
Trucking,Transport
Commodity Chemicals,Material Goods
Construction Materials,Home
Copper,Metal
Diversified Chemicals,Material Goods
Diversified Metals and Mining,Metal
Fertilizers and Agricultural Chemicals,Food
Forest Products,Material Goods
Gold,Precious Metals
Industrial Gases,Material Goods
Metal and Glass Containers,Material Goods
Paper Packaging,Material Goods
Silver,Precious Metals
Specialty Chemicals,Material Goods
Steel,Metal
Electric Utilities,Heat/Light
Gas Utilities,Heat/Light
Independent Power Producers and Energy Traders,Heat/Light
Multi-Utilities,Heat/Light
Water Utilities,Water
Transport,Travel
Entertainment,Travel
Recreational Drugs,Drugs
Medicine,Drugs
Alcohol,Recreational Drugs
Household Products,Home
Household Appliances,Home
Housewares and Specialties,Home
Property and Casualty Insurance,Home
Insurance,Life and Health Insurance
Insurance,Property and Casualty Insurance
Insurance,Multi-line Insurance
Insurance,Insurance Brokers
Life and Health Insurance,Healthcare
Precious Metals,Metal
Heat/Light,Home
